,price,rooms,area,floor,floors_total,adress,subway_station,distance to subway
432,3172620,1,28.0,3,23,"Заречная улица, 10",Парнас,1500
433,3152700,1,26.0,2,16,"улица Репищева, 10к1",Комендантский проспект,2000
434,3195800,1,36.0,1,15,"Пулковское шоссе, 30",Московская,8000
435,3179480,1,29.0,1,15,"Пулковское шоссе, 30",Московская,8000
436,3150000,1,24.0,2,9,"бульвар Новаторов, 108",Проспект Ветеранов,200
437,3150000,1,41.0,20,25,"улица Тихоокеанская, 1к1",Озерки,15000
438,3150000,1,31.0,5,5,"Кубинская улица, 50",Парк Победы,2400
439,3234200,1,29.0,16,23,"Заречная улица, 10",Парнас,1500
440,45220000,2,160.0,9,13,"Ждановская улица, 45",Спортивная,10000
441,12550000,1,107.0,9,10,"Богатырский проспект, 47к2",Старая Деревня,10000
442,33431000,3,130.0,8,8,"Смольный проспект, 17",Чернышевская,1000
443,3239170,1,25.0,16,18,"улица Среднерогатская, 14к1",Звёздная,5000
444,3224490,1,35.0,5,15,"Пулковское шоссе, 30",Московская,8000
445,3224000,1,25.0,20,24,"улица Среднерогатская, 16к5",Звёздная,1000
446,3245300,1,35.0,5,14,"Усть-Славянка тер., проспект Советский",Рыбацкое,10000
447,3242000,1,32.0,16,19,"Комендантский проспект, 57к1",Комендантский проспект,10000
448,3233700,1,36.0,18,19,"Комендантский проспект, 57к1",Комендантский проспект,10000
449,3212073,1,33.0,3,24,"улица Русановская, 11",Ломоносовская,10000
450,3212070,1,33.0,3,23,"улица Русановская, 11",Ломоносовская,15000
451,3200000,1,31.0,2,5,"Витебский проспект, 61К2",Звёздная,1500
452,3200000,1,28.0,2,3,"проспект Непокоренных, 11",Площадь Мужества,1100
453,3230000,1,23.0,3,6,"улица Шкапина, 22",Балтийская,600
454,3200000,1,23.0,19,19,"бульвар Головнина, 10",Приморская,30000
455,3200000,1,20.0,4,6,"Кирилловская улица, 22",Площадь Александра Невского,2000
456,15417000,3,117.0,5,12,"Уральская улица, 6",Василеостровская,10000
457,14200000,3,121.0,2,7,"проспект Энгельса, 50",Удельная,500
458,3200000,1,25.0,5,16,"Богатырский проспект, 51к1",Беговая,2000
459,3200000,1,24.0,15,24,"Кондратьевский проспект, 68к4",Лесная,15000
460,3200000,1,30.0,2,29,"проспект Просвещения, 43",Проспект Просвещения,2300
461,3265830,1,20.0,8,14,"Большой Сампсониевский проспект, 68Ж",Выборгская,2000
462,3263040,1,34.0,14,19,"Комендантский проспект, 59к1",Комендантский проспект,10000
463,3294900,1,37.0,14,19,"Комендантский проспект, 59к1",Комендантский проспект,10000
464,3289440,1,27.0,1,4,"Захаржевская улица, 14",Московская,25000
465,3298110,1,39.0,1,15,"Пулковское шоссе, 30",Московская,8000
466,3259250,1,37.0,1,15,"Пулковское шоссе, 30",Московская,8000
467,3250000,1,33.0,8,8,"Петергофское шоссе, 72к5",Проспект Ветеранов,15000
468,3600000,1,35.0,13,17,"Ковалевская улица, 26",Ладожская,25000
469,3335910,1,36.0,2,8,"Петергофское шоссе, 84к19",Проспект Ветеранов,15000
470,3315920,1,23.0,18,23,"Октябрьская набережная, 44к2",Улица Дыбенко,25000
471,3337250,1,28.0,15,25,"проспект Просвещения, 43",Проспект Просвещения,2000
472,3336870,1,39.0,1,15,"Пулковское шоссе, 30",Московская,8000
473,3312100,1,30.0,18,19,"Комендантский проспект, 55к1",Комендантский проспект,10000
474,3329100,1,37.0,18,19,"Комендантский проспект, 59к1",Комендантский проспект,10000
475,3321620,1,38.0,2,15,"Пулковское шоссе, 30",Московская,8000
476,3300000,1,35.0,1,12,"Кондратьевский проспект, 83К2",Площадь Ленина,15000
477,3320000,1,35.0,8,8,"Петергофское шоссе, 84к19",Проспект Ветеранов,15000
478,3300000,1,24.0,4,4,"4-я Красноармейская улица, 9",Технологический институт,600
479,3300000,1,27.0,3,12,"проспект Маршала Блюхера, 7к3",Лесная,2000
480,3250000,1,33.0,8,8,"Петергофское шоссе, 72к5",Проспект Ветеранов,15000
481,33667970,3,144.0,6,9,"переулок Басков, 2",Чернышевская,1500
482,5074000,2,46.0,4,16,"проспект Металлистов, 117",Площадь Ленина,10000
483,3337250,1,28.0,15,25,"проспект Просвещения, 43",Проспект Просвещения,2000
484,3308180,1,38.0,5,15,"Пулковское шоссе, 30",Московская,8000
485,3312100,1,30.0,18,19,"Комендантский проспект, 55к1",Комендантский проспект,10000
486,3329100,1,37.0,18,19,"Комендантский проспект, 59к1",Комендантский проспект,10000
487,3329020,1,23.0,11,25,"Комендантский проспект, 60к1",Комендантский проспект,10000
488,3346930,1,38.0,10,15,"Пулковское шоссе, 30",Московская,8000
489,3336870,1,39.0,1,15,"Пулковское шоссе, 30",Московская,8000
490,3341050,1,40.0,1,15,"Пулковское шоссе, 30",Московская,8000
491,3300000,1,35.0,1,12,"Кондратьевский проспект, 83К2",Площадь Ленина,15000
492,3320000,1,35.0,8,8,"Петергофское шоссе, 84к19",Проспект Ветеранов,15000
493,3300000,1,24.0,4,4,"4-я Красноармейская улица, 9",Технологический институт,600
494,3300000,1,27.0,3,12,"проспект Маршала Блюхера, 7к3",Лесная,2000
495,3300000,1,31.0,5,5,"проспект Науки, 13К2",Политехническая,1100
496,7200000,1,53.0,7,24,"бульвар Балтийский, 4",Ленинский проспект,10000
497,3300000,1,24.0,11,25,"Комендантский проспект, 69",Комендантский проспект,10000
498,73900000,4,160.0,8,8,"Смольная набережная, 8к2",Чернышевская,5000
499,40800150,3,178.0,8,8,"Смольный проспект, 17",Чернышевская,1000
500,28025120,3,142.0,4,7,"Смольный проспект, 3",Чернышевская,5000
501,18330000,3,105.0,6,10,"Кирочная улица, 70",Площадь Александра Невского,2700
502,17572000,2,67.0,4,9,"Петровский проспект, 24к3",Крестовский остров,1600
503,15599000,2,79.0,7,10,"Кирочная улица, 70",Площадь Александра Невского,2700
504,15474270,2,86.0,5,9,"Исполкомская улица, 17",Площадь Александра Невского,1000
505,14316362,2,99.0,10,11,"Уральская улица, 4к2",Василеостровская,1300
506,12690000,4,108.0,7,10,"Кременчугская улица, 19к2",Лиговский проспект,1400
507,12196859,3,112.0,2,18,"Московский проспект, 115",Московские ворота,500
508,11008143,2,76.0,6,11,"Уральская улица, 4к2",Василеостровская,1300
509,10600000,1,35.0,3,5,"улица Радищева, 34",Чернышевская,500
510,5500000,1,35.0,23,25,"дорога Кушелевская, 5к4",Лесная,2000
511,5200000,2,53.0,19,27,"Заречная улица, 33",Парнас,600
512,4950000,1,34.0,22,26,"проспект Луначарского, 78к5А",Гражданский проспект,15000
513,15609686,3,118.0,16,24,"Московский проспект, 183-185",Московская,500
514,32000000,3,150.0,8,15,"Ждановская улица, 45",Крестовский остров,1700
515,17800000,4,107.0,3,4,"Кирочная улица, 22",Чернышевская,200
516,17300000,2,116.0,2,5,"Нижне-Каменская улица, 7к1",Комендантский проспект,23000
517,3402850,1,27.0,12,24,"Дальневосточный проспект, 15АГ1",Улица Дыбенко,2000
518,3434880,1,29.0,13,25,"проспект Просвещения, 43",Проспект Просвещения,2000
519,3400320,1,28.0,1,4,"Захаржевская улица, 14",Московская,25000
520,3419000,1,25.0,16,16,"улица Репищева, 10к1",Комендантский проспект,2000
521,3412960,1,27.0,4,18,"улица Салова, 61",Бухарестская,200
522,3400000,1,40.0,7,10,"шоссе Красносельское, 52к2",Проспект Ветеранов,15000
523,3400000,1,42.0,5,12,"Караваевская улица, 32К1",Рыбацкое,800
524,3400000,1,24.0,10,18,"улица Салова, 61",Бухарестская,200
525,3486010,1,42.0,5,11,"проспект Старорусский, 13к1",Купчино,17000
526,33230000,3,149.0,9,13,"Ждановская улица, 45",Спортивная,10000
527,5960000,1,46.0,2,18,"улица Коллонтай, 2",Проспект Большевиков,1500
528,3400000,1,24.0,10,18,"улица Салова, 61",Бухарестская,200
529,3486010,1,42.0,5,11,"проспект Старорусский, 13к1",Купчино,17000
530,3490370,1,40.0,16,32,"Усть-Славянка тер., улица Заводская",Рыбацкое,15000
531,3469670,1,27.0,8,18,"улица Среднерогатская, 14к1",Звёздная,5000
532,3490000,1,33.0,25,26,"улица Федора Абрамова, 4",Парнас,200
533,34884860,4,165.0,5,7,"Смольный проспект, 17",Чернышевская,1000
534,9000000,3,93.0,20,22,"улица Ворошилова, 25к1",Проспект Большевиков,1500
535,3524020,1,24.0,16,18,"улица Салова, 61",Бухарестская,200
536,3526960,1,28.0,5,18,"улица Среднерогатская, 14к1",Звёздная,5000
537,3538990,1,38.0,11,32,"Усть-Славянка тер., улица Заводская",Рыбацкое,15000
538,3518780,1,26.0,1,5,"улица Катерников, 5к1",Проспект Ветеранов,15000
539,3512720,1,23.0,2,23,"Пулковское шоссе, 14",Звёздная,1500
540,3512860,1,43.0,1,15,"Пулковское шоссе, 30",Московская,8000
541,3536000,1,28.0,2,24,"улица Среднерогатская, 16к5",Звёздная,1000
542,3549150,1,26.0,16,26,"Будапештская улица, 102",Купчино,1000
543,3507000,1,35.0,17,19,"Комендантский проспект, 57к1",Комендантский проспект,10000
544,3512270,1,41.0,12,15,"Пулковское шоссе, 30",Московская,8000
545,12257000,2,78.0,10,14,"улица Жукова, 1",Площадь Ленина,10000
546,15199000,3,91.0,7,23,"Комендантский проспект, 58к1",Комендантский проспект,15000
547,3519070,1,35.0,1,15,"Пулковское шоссе, 30",Московская,8000
548,3536000,1,28.0,2,24,"улица Среднерогатская, 16к5",Звёздная,1000
549,3549150,1,26.0,16,26,"Будапештская улица, 102",Купчино,1000
550,3507000,1,35.0,17,19,"Комендантский проспект, 57к1",Комендантский проспект,10000
